,ASIN,Title,ProductGroup,ProductTypeName
191,B00HVKKCKA,Adidas Boys 2-7 3-Piece Tracksuit Set 2T Bright Red,Sports,SPORTING_GOODS
192,B06XTBL15M,"Adidas Junior's Olympics Performance Polo (Red, Medium)",Apparel,SHIRT
193,B00OHSOWIW,Adidas NBA Toddler Oklahoma City Thunder Zip Up Hoodie (2T),Sports,SPORTING_GOODS
194,B00C40V4AY,"adidas Performance Wheelhouse Shoe (Little Kid/Big Kid), Core Black/Running White/Metallic Silver, 3.5 M US Big Kid",Shoes,SHOES
195,B01HKETS24,Wisconsin Badgers Adidas Youth Black 3-Stripe Performance Sweatpants (Youth Large),Apparel,PANTS
196,B01MXD0OVD,Adidas Infant/Toddler Boy's Impact Track Pant & Jacket 2-Piece Black Set Sz. 18M,Sports,SPORTING_GOODS
197,B00M0VK4PI,"adidas Performance P Absolado Instinct Firm-Ground J Soccer Cleat (Little Kid/Big Kid), Light Flash Yellow/White/Dark Shale, 4 M US Big Kid",Shoes,SHOES
198,B00R8NO5WG,"adidas Performance X 15.4 Soccer Shoe (Little Kid/Big Kid), Yellow/Midnight Indigo/Flash Red, 5.5 M US Big Kid",Shoes,SHOES
199,B00GYS8Y3M,adidas Outdoor Winterfun Boy Primaloft Winter Boot - Kid's Collegiate Navy/Dark Onix/Blue Beauty - 3,Shoes,SHOES
200,B01NCKLAWE,Adidas Boys Ultimate SS Graphic T-Shirt yellow XL,Sports,SPORTING_GOODS
201,B01J97D1CI,"adidas Youth Cushioned 6pk Crew Sock, White/Black/Light Onyx, Large",Sports,SPORTING_GOODS
202,B01MY15BLM,"adidas Boys' Ace Tango 17.3 TF J Soccer-Shoes, Solar Red/Black/Solar Orange, 11 Medium US Little Kid",Shoes,TECHNICAL_SPORT_SHOE
203,B01N8RH6SL,"adidas Originals Boys' ZX Flux EL I Sneaker, Tactile Blue Tactile Blue Tactile Blue S, 10 M US Toddler",Shoes,SHOES
204,B01N4C0S8I,"Adidas Big Boys' Smoke Screen Performance Short, Gry Grn, XL",Apparel,SHORTS
205,B01D0TWBIQ,"adidas Performance Kids' Ace 16.3 Primemesh Firm / Artificial Ground Soccer Cleats, White/Black/Metallic Gold, 13.5 M US Little Kid",Shoes,SHOES
206,B06Y3DN2Y5,"adidas HVC 2 K Youth Wrestling Shoes, Grey/Solar Red/Grey, Size 13K",Shoes,SHOES
207,B00NB7OKMS,"adidas Golf Boys 3 Stripes 1/2 Zip Shirt, Red/Night Marine, Large",Sports,SHIRT
208,B01NBHNYXM,"Adidas Big Boys' Full Court Clima Top, Medium Blue, XL",Apparel,SHIRT
209,B010Q1KWV4,"adidas Originals Samoa Sneaker (Little Kid/Big Kid), Mineral Blue/Yellow/White, 7 M US Big Kid",Shoes,SHOES
210,B01N1Q9HHE,"adidas Originals Boys' Matchcourt J Skate Shoe, Black/White/Black, 13.5 Medium US Big Kid",Shoes,SHOES
211,B074N4H3P8,Adidas - Boy's Pro Model BT J Sneakers (Big Kid),Shoes,SHOES
212,B01I36A3IG,adidas Originals Kids Boy's Linear Overlay (Little Kids/Big Kids) Black Medium,Sports,SPORTING_GOODS
213,B00LG6DF8Q,adidas 11Questra TF Soccer Boots Cleats Shoe - Black/White/Orange - Boys - 1.5,Shoes,SHOES
